Name,Age,Batter,Bowler,Allrounder,Wicketkeeper,Country,Total T20 Match,Total T20 Run,Total T20 Wicket,Player ID
Babar Azam,28,yes,no,no,no,Pakistan,276,9795,4,1
Brandon King,28,yes,no,no,no,West Indies,127,2960,0,2
Nurul Hasan,29,yes,no,no,yes,Bangladesh,177,2380,0,3
"Nicholas Pooran
",27,yes,no,no,yes,West Indies,305,6277,0,4
Rony Talukdar,32,yes,no,no,no,Bangladesh,112,2178,0,5
"
Azmatullah Omarzai",23,no,no,yes,no,Afghanistan,72,744,67,6
"
Fazle Mahmud",35,no,no,yes,no,Bangladesh,50,846,0,7
"
Mahedi Hasan",28,no,no,yes,no,Bangladesh,133,1511,111,8
Michael Rippon,32,no,no,yes,no,New Zealand,103,942,86,9
"
Shakib Al Hasan",36,no,no,yes,no,Bangladesh,418,6958,468,10
"
Shamim Hossain",23,no,no,yes,no,Bangladesh,75,1112,8,11
"
Abu Hider",27,no,yes,no,no,Bangladesh,85,338,66,12
"
Hasan Murad",22,no,yes,no,no,Bangladesh,20,18,13,13
"
Ripon Mondol",20,no,yes,no,no,Bangladesh,8,9,14,14
"
Ihsanullah",20,no,yes,no,no,Pakistan,24,36,8,15
Matheesha Pathirana,20,no,yes,no,no,Sri Lanka,31,38,17,16
"
Yasir Mohammad",20,no,yes,no,no,America,3,16,3,17
Ashiqur Zaman,21,no,yes,no,no,Bangladesh,3,0,0,18
"
Hasan Mahmud",24,no,yes,no,no,Bangladesh,57,61,26,19
